,model_name,average_win_rate,average_win_rate,average_win_rate,effective_win_rate,effective_win_rate,tie_rate
,,mean,std,count,mean,std,mean
0,asr+llama3+tts,0.37037037037037035,,1,0.3734567901234568,,0.006172839506172839
1,diva+tts,0.28125,,1,0.284375,,0.00625
2,gemini2-flash-exp,0.4444444444444444,,1,0.4567901234567901,,0.024691358024691357
3,gemini2-flash-exp+asr+tts,0.40625,,1,0.4375,,0.0625
4,gemini2-flash-text+tts,0.39375,,1,0.40625,,0.025
5,gpt4o-audio,0.19135802469135801,,1,0.5,,0.6172839506172839
6,gpt4o-audio+asr+tts,0.37037037037037035,,1,0.4012345679012346,,0.06172839506172839
7,gpt4o-text+tts,0.38888888888888884,,1,0.3950617283950617,,0.012345679012345678
8,llama-omni,0.2962962962962963,,1,0.30246913580246915,,0.012345679012345678
9,moshi,0.24074074074074073,,1,0.24074074074074073,,0.0
10,qwen2-audio+tts,0.4,,1,0.41250000000000003,,0.025
11,typhoon2-audio,0.06172839506172839,,1,0.06481481481481481,,0.006172839506172839
12,typhoon2-audio+tts,0.38271604938271603,,1,0.40432098765432095,,0.043209876543209874
