model_name,win_rate_pos1,win_rate_pos2,average_win_rate,effective_win_rate,tie_rate,samples_evaluated
gpt4o-audio,0.0,0.0,0.0,0.5,1.0,81
gpt4o-audio+asr+tts,0.24691358024691357,0.2222222222222222,0.2345679012345679,0.5185185185185186,0.5679012345679013,81
gemini2-flash-exp,0.5061728395061729,0.5185185185185185,0.5123456790123457,0.5771604938271605,0.12962962962962962,81
gemini2-flash-exp+asr+tts,0.4567901234567901,0.4074074074074074,0.43209876543209874,0.4722222222222222,0.08024691358024691,81
typhoon2-audio,0.09876543209876543,0.04938271604938271,0.07407407407407407,0.10493827160493827,0.06172839506172839,81
llama-omni,0.12345679012345678,0.16049382716049382,0.1419753086419753,0.15432098765432098,0.024691358024691357,81
moshi,0.012345679012345678,0.0,0.006172839506172839,0.006172839506172839,0.0,81
gpt4o-text+tts,0.7777777777777778,0.6666666666666666,0.7222222222222222,0.7438271604938271,0.043209876543209874,81
gemini2-flash-text+tts,0.5308641975308642,0.5185185185185185,0.5246913580246914,0.5833333333333334,0.11728395061728394,81
diva+tts,0.43209876543209874,0.37037037037037035,0.4012345679012346,0.404320987654321,0.006172839506172839,81
typhoon2-audio+tts,0.2222222222222222,0.13580246913580246,0.17901234567901234,0.21296296296296297,0.06790123456790123,81
qwen2-audio+tts,0.24691358024691357,0.20987654320987653,0.22839506172839505,0.25308641975308643,0.04938271604938271,81
asr+llama3+tts,0.7037037037037037,0.5925925925925926,0.6481481481481481,0.6512345679012346,0.006172839506172839,81
