model_name,win_rate_pos1,win_rate_pos2,average_win_rate,effective_win_rate,tie_rate,samples_evaluated
gpt4o-audio,0.12345679012345678,0.2222222222222222,0.1728395061728395,0.5,0.654320987654321,81
gpt4o-audio+asr+tts,0.18518518518518517,0.07407407407407407,0.12962962962962962,0.16358024691358025,0.06790123456790123,81
gemini2-flash-exp,0.19753086419753085,0.25925925925925924,0.22839506172839505,0.23765432098765432,0.018518518518518517,81
gemini2-flash-exp+asr+tts,0.14814814814814814,0.24691358024691357,0.19753086419753085,0.21604938271604937,0.037037037037037035,81
typhoon2-audio,0.037037037037037035,0.04938271604938271,0.043209876543209874,0.04938271604938271,0.012345679012345678,81
llama-omni,0.012345679012345678,0.037037037037037035,0.024691358024691357,0.033950617283950615,0.018518518518518517,81
moshi,0.012345679012345678,0.0,0.006172839506172839,0.021604938271604937,0.030864197530864196,81
gpt4o-text+tts,0.25925925925925924,0.30864197530864196,0.2839506172839506,0.2901234567901234,0.012345679012345678,81
gemini2-flash-text+tts,0.2716049382716049,0.25925925925925924,0.26543209876543206,0.2746913580246913,0.018518518518518517,81
diva+tts,0.32098765432098764,0.2962962962962963,0.30864197530864196,0.30864197530864196,0.0,81
typhoon2-audio+tts,0.06172839506172839,0.04938271604938271,0.05555555555555555,0.06481481481481481,0.018518518518518517,81
qwen2-audio+tts,0.09876543209876543,0.16049382716049382,0.12962962962962962,0.1419753086419753,0.024691358024691357,81
asr+llama3+tts,0.43209876543209874,0.3333333333333333,0.38271604938271603,0.38580246913580246,0.006172839506172839,81
