model_name,win_rate_pos1,win_rate_pos2,average_win_rate,effective_win_rate,tie_rate,samples_evaluated
gpt4o-audio,0.06172839506172839,0.20987654320987653,0.13580246913580246,0.5,0.7283950617283951,81
gpt4o-audio+asr+tts,0.4444444444444444,0.5925925925925926,0.5185185185185185,0.5339506172839505,0.030864197530864196,81
gemini2-flash-exp,0.48148148148148145,0.6666666666666666,0.5740740740740741,0.5864197530864197,0.024691358024691357,81
gemini2-flash-exp+asr+tts,0.5185185185185185,0.6419753086419753,0.5802469135802468,0.5987654320987653,0.037037037037037035,81
typhoon2-audio,0.024691358024691357,0.07407407407407407,0.04938271604938271,0.05555555555555555,0.012345679012345678,81
llama-omni,0.35443037974683544,0.45569620253164556,0.4050632911392405,0.4240506329113924,0.0379746835443038,79
moshi,0.2962962962962963,0.35802469135802467,0.3271604938271605,0.3487654320987654,0.043209876543209874,81
gpt4o-text+tts,0.4430379746835443,0.5316455696202531,0.48734177215189867,0.5031645569620252,0.03164556962025317,79
gemini2-flash-text+tts,0.3950617283950617,0.5802469135802469,0.4876543209876543,0.49691358024691357,0.018518518518518517,81
diva+tts,0.2716049382716049,0.4691358024691358,0.37037037037037035,0.3734567901234568,0.006172839506172839,81
typhoon2-audio+tts,0.4430379746835443,0.6075949367088608,0.5253164556962026,0.5411392405063291,0.03164556962025317,79
qwen2-audio+tts,0.3950617283950617,0.6049382716049383,0.5,0.5308641975308642,0.06172839506172839,81
asr+llama3+tts,0.35802469135802467,0.4444444444444444,0.4012345679012346,0.41358024691358025,0.024691358024691357,81
