model_name,win_rate_pos1,win_rate_pos2,average_win_rate,effective_win_rate,tie_rate,samples_evaluated
gpt4o-audio,0.037037037037037035,0.07407407407407407,0.05555555555555555,0.5,0.8888888888888888,81
gpt4o-audio+asr+tts,0.2716049382716049,0.30864197530864196,0.2901234567901234,0.34876543209876537,0.11728395061728394,81
gemini2-flash-exp,0.2345679012345679,0.24691358024691357,0.24074074074074073,0.25,0.018518518518518517,81
gemini2-flash-exp+asr+tts,0.2375,0.2625,0.25,0.259375,0.018750000000000003,80
typhoon2-audio,0.1125,0.025,0.06875,0.08750000000000001,0.037500000000000006,80
llama-omni,0.0875,0.0875,0.0875,0.090625,0.00625,80
moshi,0.0,0.012345679012345678,0.006172839506172839,0.012345679012345678,0.012345679012345678,81
gpt4o-text+tts,0.24691358024691357,0.2962962962962963,0.2716049382716049,0.27469135802469136,0.006172839506172839,81
gemini2-flash-text+tts,0.3625,0.275,0.31875,0.33125,0.025,80
diva+tts,0.2375,0.2375,0.2375,0.24375,0.0125,80
typhoon2-audio+tts,0.18518518518518517,0.08641975308641975,0.13580246913580246,0.1450617283950617,0.018518518518518517,81
qwen2-audio+tts,0.13580246913580246,0.13580246913580246,0.13580246913580246,0.1419753086419753,0.012345679012345678,81
asr+llama3+tts,0.37037037037037035,0.41975308641975306,0.3950617283950617,0.40432098765432095,0.018518518518518517,81
