,model_name,average_win_rate,average_win_rate,average_win_rate,effective_win_rate,effective_win_rate,tie_rate
,,mean,std,count,mean,std,mean
0,asr+llama3+tts,0.43209876543209874,,1,0.4351851851851852,,0.006172839506172839
1,diva+tts,0.4012345679012346,,1,0.40740740740740744,,0.012345679012345678
2,gemini2-flash-exp,0.3333333333333333,,1,0.3672839506172839,,0.06790123456790123
3,gemini2-flash-exp+asr+tts,0.25308641975308643,,1,0.27469135802469136,,0.043209876543209874
4,gemini2-flash-text+tts,0.3950617283950617,,1,0.4104938271604938,,0.030864197530864196
5,gpt4o-audio,0.2037037037037037,,1,0.5,,0.5925925925925926
6,gpt4o-audio+asr+tts,0.19753086419753085,,1,0.28703703703703703,,0.17901234567901234
7,gpt4o-text+tts,0.345679012345679,,1,0.3611111111111111,,0.030864197530864196
8,llama-omni,0.09259259259259259,,1,0.09567901234567901,,0.006172839506172839
9,moshi,0.018518518518518517,,1,0.024691358024691357,,0.012345679012345678
10,qwen2-audio+tts,0.09876543209876543,,1,0.11728395061728394,,0.037037037037037035
11,typhoon2-audio,0.09876543209876543,,1,0.10185185185185185,,0.006172839506172839
12,typhoon2-audio+tts,0.11728395061728394,,1,0.12962962962962962,,0.024691358024691357
