model_name,win_rate_pos1,win_rate_pos2,average_win_rate,effective_win_rate,tie_rate,samples_evaluated
gpt4o-audio,0.0,0.0,0.0,0.5,1.0,81
gpt4o-audio+asr+tts,0.13580246913580246,0.1728395061728395,0.15432098765432098,0.4907407407407407,0.6728395061728395,81
gemini2-flash-exp,0.37037037037037035,0.2716049382716049,0.32098765432098764,0.49691358024691357,0.35185185185185186,81
gemini2-flash-exp+asr+tts,0.32098765432098764,0.2716049382716049,0.2962962962962963,0.38580246913580246,0.17901234567901234,81
typhoon2-audio,0.06172839506172839,0.07407407407407407,0.06790123456790123,0.08024691358024691,0.024691358024691357,81
llama-omni,0.12345679012345678,0.07407407407407407,0.09876543209876543,0.10802469135802469,0.018518518518518517,81
moshi,0.0,0.0,0.0,0.0030864197530864196,0.006172839506172839,81
gpt4o-text+tts,0.7160493827160493,0.5679012345679012,0.6419753086419753,0.6851851851851851,0.08641975308641975,81
gemini2-flash-text+tts,0.5185185185185185,0.345679012345679,0.43209876543209874,0.5617283950617283,0.25925925925925924,81
diva+tts,0.4444444444444444,0.35802469135802467,0.4012345679012346,0.4320987654320988,0.06172839506172839,81
typhoon2-audio+tts,0.08641975308641975,0.09876543209876543,0.09259259259259259,0.12345679012345678,0.06172839506172839,81
qwen2-audio+tts,0.18518518518518517,0.12345679012345678,0.15432098765432098,0.2006172839506173,0.09259259259259259,81
asr+llama3+tts,0.7160493827160493,0.49382716049382713,0.6049382716049383,0.6203703703703703,0.030864197530864196,81
