model_name,win_rate_pos1,win_rate_pos2,average_win_rate,effective_win_rate,tie_rate,samples_evaluated
gpt4o-audio,0.2222222222222222,0.1728395061728395,0.19753086419753085,0.5,0.6049382716049383,81
gpt4o-audio+asr+tts,0.30864197530864196,0.08641975308641975,0.19753086419753085,0.25925925925925924,0.12345679012345678,81
gemini2-flash-exp,0.5185185185185185,0.18518518518518517,0.35185185185185186,0.3549382716049383,0.006172839506172839,81
gemini2-flash-exp+asr+tts,0.3333333333333333,0.1728395061728395,0.25308641975308643,0.2592592592592593,0.012345679012345678,81
typhoon2-audio,0.13580246913580246,0.08641975308641975,0.1111111111111111,0.11728395061728394,0.012345679012345678,81
llama-omni,0.1111111111111111,0.09876543209876543,0.10493827160493827,0.1111111111111111,0.012345679012345678,81
moshi,0.012345679012345678,0.024691358024691357,0.018518518518518517,0.021604938271604937,0.006172839506172839,81
gpt4o-text+tts,0.48148148148148145,0.2962962962962963,0.38888888888888884,0.40740740740740733,0.037037037037037035,81
gemini2-flash-text+tts,0.49382716049382713,0.25925925925925924,0.3765432098765432,0.37962962962962965,0.006172839506172839,81
diva+tts,0.6419753086419753,0.35802469135802467,0.5,0.5,0.0,81
typhoon2-audio+tts,0.07407407407407407,0.08641975308641975,0.08024691358024691,0.08950617283950617,0.018518518518518517,81
qwen2-audio+tts,0.1875,0.075,0.13125,0.1375,0.0125,80
asr+llama3+tts,0.7037037037037037,0.35802469135802467,0.5308641975308642,0.5339506172839507,0.006172839506172839,81
