model_name,win_rate_pos1,win_rate_pos2,average_win_rate,effective_win_rate,tie_rate,samples_evaluated
gpt4o-audio,0.1728395061728395,0.13580246913580246,0.15432098765432098,0.5,0.691358024691358,81
gpt4o-audio+asr+tts,0.41975308641975306,0.2222222222222222,0.32098765432098764,0.41666666666666663,0.19135802469135801,81
gemini2-flash-exp,0.6172839506172839,0.19753086419753085,0.4074074074074074,0.4691358024691358,0.12345679012345678,81
gemini2-flash-exp+asr+tts,0.37037037037037035,0.13580246913580246,0.25308641975308643,0.308641975308642,0.1111111111111111,81
typhoon2-audio,0.06172839506172839,0.012345679012345678,0.037037037037037035,0.043209876543209874,0.012345679012345678,81
llama-omni,0.14814814814814814,0.07407407407407407,0.1111111111111111,0.12654320987654322,0.030864197530864196,81
moshi,0.024691358024691357,0.037037037037037035,0.030864197530864196,0.033950617283950615,0.006172839506172839,81
gpt4o-text+tts,0.3950617283950617,0.09876543209876543,0.24691358024691357,0.2777777777777778,0.06172839506172839,81
gemini2-flash-text+tts,0.49382716049382713,0.18518518518518517,0.3395061728395061,0.382716049382716,0.08641975308641975,81
diva+tts,0.3950617283950617,0.13580246913580246,0.26543209876543206,0.3055555555555555,0.08024691358024691,81
typhoon2-audio+tts,0.2222222222222222,0.12345679012345678,0.1728395061728395,0.20987654320987653,0.07407407407407407,81
qwen2-audio+tts,0.18518518518518517,0.06172839506172839,0.12345679012345678,0.16049382716049382,0.07407407407407407,81
asr+llama3+tts,0.4074074074074074,0.13580246913580246,0.2716049382716049,0.28703703703703703,0.030864197530864196,81
