model_name,win_rate_pos1,win_rate_pos2,average_win_rate,effective_win_rate,tie_rate,samples_evaluated
gpt4o-audio,0.16049382716049382,0.24691358024691357,0.2037037037037037,0.5,0.5925925925925926,81
gpt4o-audio+asr+tts,0.13580246913580246,0.25925925925925924,0.19753086419753085,0.28703703703703703,0.17901234567901234,81
gemini2-flash-exp,0.32098765432098764,0.345679012345679,0.3333333333333333,0.3672839506172839,0.06790123456790123,81
gemini2-flash-exp+asr+tts,0.16049382716049382,0.345679012345679,0.25308641975308643,0.27469135802469136,0.043209876543209874,81
typhoon2-audio,0.037037037037037035,0.16049382716049382,0.09876543209876543,0.10185185185185185,0.006172839506172839,81
llama-omni,0.037037037037037035,0.14814814814814814,0.09259259259259259,0.09567901234567901,0.006172839506172839,81
moshi,0.024691358024691357,0.012345679012345678,0.018518518518518517,0.024691358024691357,0.012345679012345678,81
gpt4o-text+tts,0.3333333333333333,0.35802469135802467,0.345679012345679,0.3611111111111111,0.030864197530864196,81
gemini2-flash-text+tts,0.37037037037037035,0.41975308641975306,0.3950617283950617,0.4104938271604938,0.030864197530864196,81
diva+tts,0.345679012345679,0.4567901234567901,0.4012345679012346,0.40740740740740744,0.012345679012345678,81
typhoon2-audio+tts,0.06172839506172839,0.1728395061728395,0.11728395061728394,0.12962962962962962,0.024691358024691357,81
qwen2-audio+tts,0.06172839506172839,0.13580246913580246,0.09876543209876543,0.11728395061728394,0.037037037037037035,81
asr+llama3+tts,0.41975308641975306,0.4444444444444444,0.43209876543209874,0.4351851851851852,0.006172839506172839,81
